episode_hash,operator,decision,score,reason,flags,trim_start,trim_end,n_frames,act_span,progress_dip,cluster,outlier_p,ax_poor_image,ax_jittery,ax_unsteady_camera,ax_hesitant,ax_incomplete
692e977c74b24813e75973f7,69150bf42756853dcad943f2,keep,-0.4355,,jittery,0,128,131,0.9846,,,,0.0180,1.1781,0.2267,0.6774,0.3503
692eaa63d3d807884d4dd7d2,6903686e0e94ce070afd1f24,keep,-0.4357,,unsteady_camera,0,97,99,0.9898,,,,0.9123,-0.1516,1.4412,0.0000,0.4673
692e9d3ba0e165ab2e42e3b1,6903686e0e94ce070afd1f24,keep,-0.4363,,hesitant,15,114,116,0.8609,,,,0.0309,0.0443,0.1638,2.8071,-0.0292
692e9d4739719ab57395b7fd,6903bd580e94ce070afd33cd,keep,-0.4365,,hesitant,0,169,177,0.9602,,,,0.2424,-0.1672,0.6626,2.2994,-0.0193
692eb0819cebf0ec017dddcf,69070e0b9adc5c8f26f55b5a,keep,-0.4367,,incomplete,25,124,132,0.7557,,,,0.1822,0.6422,0.5156,0.0000,1.3045
692eac0739719ab57395b962,6903b590466be157ec64580a,keep,-0.4367,,jittery+hesitant,8,192,194,0.9534,,,,-0.5532,1.1418,0.1096,1.9989,0.0656
692eaeba9cebf0ec017ddd31,690366b20e94ce070afd1e8a,keep,-0.4368,,poor_image,56,192,205,0.6667,,,,1.1279,-0.0305,-0.1610,0.8022,0.7700
692eafd6eee2f8cb10d0f8d2,6846f7cf9cdf020d4a37a294,keep,-0.4368,,jittery,0,185,216,0.8605,,,,0.6495,1.2761,-0.3071,-0.2416,0.7182
692edf784215b056bf36e761,690362600e94ce070afd1d30,keep,-0.4369,,,0,266,268,0.9963,,,,0.7507,0.8152,0.4177,-0.2191,0.5109
692ee8694215b056bf36e817,6846f7cf9cdf020d4a37a294,keep,-0.4370,,poor_image+jittery,0,212,214,0.9953,,,,1.2579,1.3829,-0.0158,-0.2372,-0.6491
692eaa62d3d807884d4dd7c7,6903686e0e94ce070afd1f24,keep,-0.4373,,hesitant,31,98,100,0.6768,,,,0.1938,0.0983,0.1767,1.8750,0.5711
692eeeaf0ba268eb16564a87,69150bf42756853dcad943f2,keep,-0.4376,,incomplete,0,93,153,0.6118,0.1361,2,0.3432,0.8134,0.5269,-0.1317,0.2132,1.4612
